ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM_ID,UPDATED,PERIMETER,AREA,LONGITUDE,LATITUDE
Adams,PH012801000,Ilocos Norte,PH012800000,Region I,PH010000000,12801000,12/31/19,45988.487,111143025.3,120.919,18.453
Bacarra,PH012802000,Ilocos Norte,PH012800000,Region I,PH010000000,12802000,12/31/19,33300.976,55303194.75,120.613,18.267
Badoc,PH012803000,Ilocos Norte,PH012800000,Region I,PH010000000,12803000,12/31/19,64955.865,80683969.96,120.509,17.906
Bangui,PH012804000,Ilocos Norte,PH012800000,Region I,PH010000000,12804000,12/31/19,52052.424,115059041.3,120.75,18.49
City of Batac,PH012805000,Ilocos Norte,PH012800000,Region I,PH010000000,12805000,12/31/19,66634.568,158123132.2,120.584,18.038
Carasi,PH012807000,Ilocos Norte,PH012800000,Region I,PH010000000,12807000,12/31/19,56945.422,173051816.9,120.865,18.219
Currimao,PH012808000,Ilocos Norte,PH012800000,Region I,PH010000000,12808000,12/31/19,41096.33,33432501.76,120.5,18.011
Dingras,PH012809000,Ilocos Norte,PH012800000,Region I,PH010000000,12809000,12/31/19,55291.62,108365205.5,120.721,18.077
Dumalneg,PH012810000,Ilocos Norte,PH012800000,Region I,PH010000000,12810000,12/31/19,40929.544,66747884.81,120.839,18.477
Banna,PH012811000,Ilocos Norte,PH012800000,Region I,PH010000000,12811000,12/31/19,44691.459,91133239.5,120.655,17.967
Laoag City,PH012812000,Ilocos Norte,PH012800000,Region I,PH010000000,12812000,12/31/19,53942.312,110056243.4,120.577,18.195
Marcos,PH012813000,Ilocos Norte,PH012800000,Region I,PH010000000,12813000,12/31/19,46875.037,79404206.99,120.695,18.025
Nueva Era,PH012814000,Ilocos Norte,PH012800000,Region I,PH010000000,12814000,12/31/19,161038.204,608595757.2,120.781,17.982
Pagudpud,PH012815000,Ilocos Norte,PH012800000,Region I,PH010000000,12815000,12/31/19,85620.688,193172907.4,120.863,18.563
Paoay,PH012816000,Ilocos Norte,PH012800000,Region I,PH010000000,12816000,12/31/19,43861.446,69501881.99,120.519,18.085
Pasuquin,PH012817000,Ilocos Norte,PH012800000,Region I,PH010000000,12817000,12/31/19,70803.058,176674045,120.639,18.371
Piddig,PH012818000,Ilocos Norte,PH012800000,Region I,PH010000000,12818000,12/31/19,59599.105,123582183.2,120.75,18.18
Pinili,PH012819000,Ilocos Norte,PH012800000,Region I,PH010000000,12819000,12/31/19,45380.104,63610092.89,120.543,17.948
San Nicolas,PH012820000,Ilocos Norte,PH012800000,Region I,PH010000000,12820000,12/31/19,29471.261,41944114.87,120.595,18.146
Sarrat,PH012821000,Ilocos Norte,PH012800000,Region I,PH010000000,12821000,12/31/19,33355.817,56899256.45,120.647,18.135
Solsona,PH012822000,Ilocos Norte,PH012800000,Region I,PH010000000,12822000,12/31/19,47299.319,90338438.02,120.792,18.101
Vintar,PH012823000,Ilocos Norte,PH012800000,Region I,PH010000000,12823000,12/31/19,105702.948,530958638.1,120.783,18.329
Alilem,PH012901000,Ilocos Sur,PH012900000,Region I,PH010000000,12901000,12/31/19,50124.707,114414332.1,120.578,16.893
Banayoyo,PH012902000,Ilocos Sur,PH012900000,Region I,PH010000000,12902000,12/31/19,24929.415,25093986.98,120.493,17.246
Bantay,PH012903000,Ilocos Sur,PH012900000,Region I,PH010000000,12903000,12/31/19,45246.866,75115393.68,120.452,17.598
Burgos,PH012904000,Ilocos Sur,PH012900000,Region I,PH010000000,12904000,12/31/19,31419.747,50927646.64,120.515,17.314
Cabugao,PH012905000,Ilocos Sur,PH012900000,Region I,PH010000000,12905000,12/31/19,50218.372,112216588.5,120.496,17.788
City of Candon,PH012906000,Ilocos Sur,PH012900000,Region I,PH010000000,12906000,12/31/19,62216.46,77575192.3,120.465,17.193
Caoayan,PH012907000,Ilocos Sur,PH012900000,Region I,PH010000000,12907000,12/31/19,26289.691,17516504.07,120.391,17.535
Cervantes,PH012908000,Ilocos Sur,PH012900000,Region I,PH010000000,12908000,12/31/19,63130.822,242989744,120.707,16.99
Galimuyod,PH012909000,Ilocos Sur,PH012900000,Region I,PH010000000,12909000,12/31/19,32786.687,34119872.51,120.514,17.188
Gregorio del Pilar,PH012910000,Ilocos Sur,PH012900000,Region I,PH010000000,12910000,12/31/19,32710.279,54078750.55,120.612,17.152
Lidlidda,PH012911000,Ilocos Sur,PH012900000,Region I,PH010000000,12911000,12/31/19,23219.316,34149284.38,120.532,17.259
Magsingal,PH012912000,Ilocos Sur,PH012900000,Region I,PH010000000,12912000,12/31/19,48263.895,82420578.49,120.452,17.683
Nagbukel,PH012913000,Ilocos Sur,PH012900000,Region I,PH010000000,12913000,12/31/19,32065.53,42420125.24,120.551,17.44
Narvacan,PH012914000,Ilocos Sur,PH012900000,Region I,PH010000000,12914000,12/31/19,62002.278,103366133.6,120.501,17.447
Quirino,PH012915000,Ilocos Sur,PH012900000,Region I,PH010000000,12915000,12/31/19,62086.529,182417411.2,120.711,17.123
Salcedo,PH012916000,Ilocos Sur,PH012900000,Region I,PH010000000,12916000,12/31/19,41549.727,82966133.63,120.549,17.12
San Emilio,PH012917000,Ilocos Sur,PH012900000,Region I,PH010000000,12917000,12/31/19,53041.187,151447914.7,120.608,17.24
San Esteban,PH012918000,Ilocos Sur,PH012900000,Region I,PH010000000,12918000,12/31/19,21745.539,17413144.43,120.453,17.325
San Ildefonso,PH012919000,Ilocos Sur,PH012900000,Region I,PH010000000,12919000,12/31/19,20000.469,11742210.69,120.406,17.619
San Juan,PH012920000,Ilocos Sur,PH012900000,Region I,PH010000000,12920000,12/31/19,43853.152,68474907.38,120.479,17.733
San Vicente,PH012921000,Ilocos Sur,PH012900000,Region I,PH010000000,12921000,12/31/19,22989.154,13213441.18,120.367,17.612
Santa,PH012922000,Ilocos Sur,PH012900000,Region I,PH010000000,12922000,12/31/19,52060.951,59235396.3,120.443,17.518
Santa Catalina,PH012923000,Ilocos Sur,PH012900000,Region I,PH010000000,12923000,12/31/19,16853.837,8947332.422,120.356,17.586
Santa Cruz,PH012924000,Ilocos Sur,PH012900000,Region I,PH010000000,12924000,12/31/19,40544.677,91954721.45,120.483,17.056
Santa Lucia,PH012925000,Ilocos Sur,PH012900000,Region I,PH010000000,12925000,12/31/19,31800.118,44220211.12,120.471,17.126
Santa Maria,PH012926000,Ilocos Sur,PH012900000,Region I,PH010000000,12926000,12/31/19,41200.188,56487535.98,120.497,17.367
Santiago,PH012927000,Ilocos Sur,PH012900000,Region I,PH010000000,12927000,12/31/19,34595.709,47754209.22,120.449,17.273
Santo Domingo,PH012928000,Ilocos Sur,PH012900000,Region I,PH010000000,12928000,12/31/19,39116.188,48567924.09,120.42,17.644
Sigay,PH012929000,Ilocos Sur,PH012900000,Region I,PH010000000,12929000,12/31/19,40048.805,92234565.24,120.605,17.056
Sinait,PH012930000,Ilocos Sur,PH012900000,Region I,PH010000000,12930000,12/31/19,37954.213,68864720.17,120.488,17.859
Sugpon,PH012931000,Ilocos Sur,PH012900000,Region I,PH010000000,12931000,12/31/19,64576.131,106326068.1,120.559,16.779
Suyo,PH012932000,Ilocos Sur,PH012900000,Region I,PH010000000,12932000,12/31/19,55963.272,163628766.1,120.556,16.979
Tagudin,PH012933000,Ilocos Sur,PH012900000,Region I,PH010000000,12933000,12/31/19,37902.695,58516792.51,120.462,16.938
City of Vigan,PH012934000,Ilocos Sur,PH012900000,Region I,PH010000000,12934000,12/31/19,25101.928,24458494.32,120.388,17.563
