fid,cat,cat_,cat__1_1,cat__1,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM_ID,UPDATED,PERIMETER,AREA,LONGITUDE,LATITUDE
1,"1","5","123","153",Santa Ana,PH021523000,Cagayan,PH021500000,Region II,PH020000000,"21523000",2019-12-31,198766.878999999986263,434780193.100000023841858,122.221000000000004,18.393000000000001
2,"2","6","128","153",Santa Ana,PH021523000,Cagayan,PH021500000,Region II,PH020000000,"21523000",2019-12-31,198766.878999999986263,434780193.100000023841858,122.221000000000004,18.393000000000001
3,"3","7","133","153",Santa Ana,PH021523000,Cagayan,PH021500000,Region II,PH020000000,"21523000",2019-12-31,198766.878999999986263,434780193.100000023841858,122.221000000000004,18.393000000000001
4,"4","9","137","153",Santa Ana,PH021523000,Cagayan,PH021500000,Region II,PH020000000,"21523000",2019-12-31,198766.878999999986263,434780193.100000023841858,122.221000000000004,18.393000000000001
5,"5","16","264","530",Caramoan,PH051711000,Camarines Sur,PH051700000,Region V,PH050000000,"51711000",2019-12-31,294694.792000000015832,273676443.699999988079071,123.832999999999998,13.798000000000000
6,"6","54","710","1002",Zamboanga City,PH097332000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,"97332000",2019-12-31,521649.107000000018161,1497154802.000000000000000,122.144999999999996,7.156000000000000
7,"7","55","713","1002",Zamboanga City,PH097332000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,"97332000",2019-12-31,521649.107000000018161,1497154802.000000000000000,122.144999999999996,7.156000000000000
8,"8","56","714","1005",Pitogo,PH097338000,Zamboanga del Sur,PH097300000,Region IX,PH090000000,"97338000",2019-12-31,86993.112999999997555,74146990.340000003576279,123.338999999999999,7.447000000000000
9,"9","57","727","1017",Malangas,PH098308000,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,"98308000",2019-12-31,113381.703999999997905,121091469.700000002980232,123.007999999999996,7.620000000000000
10,"10","60","766","1336",Hadji Muhtamad,PH150712000,Basilan,PH150700000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"150712000",2019-12-31,144898.301999999996042,53577829.200000002980232,121.590000000000003,6.675000000000000
11,"11","66","946","1425",Siasi,PH156612000,Sulu,PH156600000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"156612000",2019-12-31,186092.579999999987194,83154260.799999997019768,120.861999999999995,5.537000000000000
12,"12","67","981","1427",Tapul,PH156614000,Sulu,PH156600000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"156614000",2019-12-31,111369.251999999993131,56285520.799999997019768,120.959999999999994,5.711000000000000
13,"13","68","984","1427",Tapul,PH156614000,Sulu,PH156600000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"156614000",2019-12-31,111369.251999999993131,56285520.799999997019768,120.959999999999994,5.711000000000000
14,"14","69","985","1427",Tapul,PH156614000,Sulu,PH156600000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"156614000",2019-12-31,111369.251999999993131,56285520.799999997019768,120.959999999999994,5.711000000000000
15,"15","70","992","1427",Tapul,PH156614000,Sulu,PH156600000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"156614000",2019-12-31,111369.251999999993131,56285520.799999997019768,120.959999999999994,5.711000000000000
16,"16","71","994","1427",Tapul,PH156614000,Sulu,PH156600000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"156614000",2019-12-31,111369.251999999993131,56285520.799999997019768,120.959999999999994,5.711000000000000
17,"17","72","997","1427",Tapul,PH156614000,Sulu,PH156600000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"156614000",2019-12-31,111369.251999999993131,56285520.799999997019768,120.959999999999994,5.711000000000000
18,"18","80","1024","1428",Tongkil,PH156615000,Sulu,PH156600000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"156615000",2019-12-31,290081.419999999983702,128072973.599999994039536,121.748999999999995,6.049000000000000
19,"19","86","1033","1428",Tongkil,PH156615000,Sulu,PH156600000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"156615000",2019-12-31,290081.419999999983702,128072973.599999994039536,121.748999999999995,6.049000000000000
20,"20","89","1036","1428",Tongkil,PH156615000,Sulu,PH156600000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"156615000",2019-12-31,290081.419999999983702,128072973.599999994039536,121.748999999999995,6.049000000000000
21,"21","90","1037","1428",Tongkil,PH156615000,Sulu,PH156600000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"156615000",2019-12-31,290081.419999999983702,128072973.599999994039536,121.748999999999995,6.049000000000000
22,"22","100","1114","1433",Panglima Sugala,PH157001000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157001000",2019-12-31,326235.117000000027474,233960248.599999994039536,120.003000000000000,5.140000000000000
23,"23","107","1150","1435",Mapun,PH157003000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157003000",2019-12-31,113365.732000000003609,71199559.170000001788139,118.477000000000004,7.009000000000000
24,"24","108","1151","1435",Mapun,PH157003000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157003000",2019-12-31,113365.732000000003609,71199559.170000001788139,118.477000000000004,7.009000000000000
25,"25","109","1180","1438",South Ubian,PH157006000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157006000",2019-12-31,142092.715999999985797,31682709.109999999403954,120.561000000000007,5.280000000000000
26,"26","110","1185","1438",South Ubian,PH157006000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157006000",2019-12-31,142092.715999999985797,31682709.109999999403954,120.561000000000007,5.280000000000000
27,"27","111","1186","1438",South Ubian,PH157006000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157006000",2019-12-31,142092.715999999985797,31682709.109999999403954,120.561000000000007,5.280000000000000
28,"28","112","1188","1438",South Ubian,PH157006000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157006000",2019-12-31,142092.715999999985797,31682709.109999999403954,120.561000000000007,5.280000000000000
29,"29","113","1190","1438",South Ubian,PH157006000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157006000",2019-12-31,142092.715999999985797,31682709.109999999403954,120.561000000000007,5.280000000000000
30,"30","114","1191","1438",South Ubian,PH157006000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157006000",2019-12-31,142092.715999999985797,31682709.109999999403954,120.561000000000007,5.280000000000000
31,"31","115","1192","1438",South Ubian,PH157006000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157006000",2019-12-31,142092.715999999985797,31682709.109999999403954,120.561000000000007,5.280000000000000
32,"32","116","1193","1438",South Ubian,PH157006000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157006000",2019-12-31,142092.715999999985797,31682709.109999999403954,120.561000000000007,5.280000000000000
33,"33","117","1194","1438",South Ubian,PH157006000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157006000",2019-12-31,142092.715999999985797,31682709.109999999403954,120.561000000000007,5.280000000000000
34,"34","118","1198","1438",South Ubian,PH157006000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157006000",2019-12-31,142092.715999999985797,31682709.109999999403954,120.561000000000007,5.280000000000000
35,"35","121","1227","1439",Tandubas,PH157007000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157007000",2019-12-31,388463.619999999995343,220678934.300000011920929,120.241000000000000,5.222000000000000
36,"36","122","1228","1439",Tandubas,PH157007000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157007000",2019-12-31,388463.619999999995343,220678934.300000011920929,120.241000000000000,5.222000000000000
37,"37","123","1229","1439",Tandubas,PH157007000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157007000",2019-12-31,388463.619999999995343,220678934.300000011920929,120.241000000000000,5.222000000000000
38,"38","124","1233","1439",Tandubas,PH157007000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157007000",2019-12-31,388463.619999999995343,220678934.300000011920929,120.241000000000000,5.222000000000000
39,"39","125","1251","1441",Languyan,PH157009000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157009000",2019-12-31,285892.039999999979045,230899497.900000005960464,120.090999999999994,5.261000000000000
40,"40","126","1252","1441",Languyan,PH157009000,Tawi-Tawi,PH157000000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"157009000",2019-12-31,285892.039999999979045,230899497.900000005960464,120.090999999999994,5.261000000000000
41,"41","137","1302","1473",Claver,PH166706000,Surigao del Norte,PH166700000,Region XIII,PH160000000,"166706000",2019-12-31,109802.213000000003376,286300984.699999988079071,125.786000000000001,9.475000000000000
42,"42","138","1303","1473",Claver,PH166706000,Surigao del Norte,PH166700000,Region XIII,PH160000000,"166706000",2019-12-31,109802.213000000003376,286300984.699999988079071,125.786000000000001,9.475000000000000
43,"43","148","1554","1555",Busuanga,PH175307000,Palawan,PH175300000,Region IV-B,PH170000000,"175307000",2019-12-31,354291.178000000014435,404538678.600000023841858,119.956999999999994,12.173000000000000
44,"44","149","1555","1555",Busuanga,PH175307000,Palawan,PH175300000,Region IV-B,PH170000000,"175307000",2019-12-31,354291.178000000014435,404538678.600000023841858,119.956999999999994,12.173000000000000
45,"45","150","1563","1555",Busuanga,PH175307000,Palawan,PH175300000,Region IV-B,PH170000000,"175307000",2019-12-31,354291.178000000014435,404538678.600000023841858,119.956999999999994,12.173000000000000
46,"46","154","1618","1557",Coron,PH175309000,Palawan,PH175300000,Region IV-B,PH170000000,"175309000",2019-12-31,740705.103000000002794,694415349.000000000000000,120.174999999999997,12.053000000000001
47,"47","156","1627","1557",Coron,PH175309000,Palawan,PH175300000,Region IV-B,PH170000000,"175309000",2019-12-31,740705.103000000002794,694415349.000000000000000,120.174999999999997,12.053000000000001
48,"48","157","1628","1557",Coron,PH175309000,Palawan,PH175300000,Region IV-B,PH170000000,"175309000",2019-12-31,740705.103000000002794,694415349.000000000000000,120.174999999999997,12.053000000000001
49,"49","159","1646","1557",Coron,PH175309000,Palawan,PH175300000,Region IV-B,PH170000000,"175309000",2019-12-31,740705.103000000002794,694415349.000000000000000,120.174999999999997,12.053000000000001
50,"50","161","1654","1557",Coron,PH175309000,Palawan,PH175300000,Region IV-B,PH170000000,"175309000",2019-12-31,740705.103000000002794,694415349.000000000000000,120.174999999999997,12.053000000000001
51,"51","162","1655","1557",Coron,PH175309000,Palawan,PH175300000,Region IV-B,PH170000000,"175309000",2019-12-31,740705.103000000002794,694415349.000000000000000,120.174999999999997,12.053000000000001
52,"52","167","1731","1562",Magsaysay,PH175314000,Palawan,PH175300000,Region IV-B,PH170000000,"175314000",2019-12-31,99638.311000000001513,47531596.460000000894070,121.055000000000007,10.887000000000000
53,"53","171","2868","79",City of Alaminos,PH015503000,Pangasinan,PH015500000,Region I,PH010000000,"15503000",2019-12-31,165240.287000000011176,161781473.199999988079071,119.977999999999994,16.152000000000001
54,"54","172","2869","79",City of Alaminos,PH015503000,Pangasinan,PH015500000,Region I,PH010000000,"15503000",2019-12-31,165240.287000000011176,161781473.199999988079071,119.977999999999994,16.152000000000001
