ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Leng,Shape_Area,ADM2ALT1EN,AREA_SQKM
Ilocos Norte,PH01028,Region I (Ilocos Region),PH01,Philippines (the),PH,2022/11/09,2023/11/06,,2.85008746356,0.27970934638,,3274.88508100000
Ilocos Sur,PH01029,Region I (Ilocos Region),PH01,Philippines (the),PH,2022/11/09,2023/11/06,,4.15263236704,0.20946724043,,2465.27603450000
La Union,PH01033,Region I (Ilocos Region),PH01,Philippines (the),PH,2022/11/09,2023/11/06,,2.40331713672,0.11960738133,,1412.57088951000
Pangasinan,PH01055,Region I (Ilocos Region),PH01,Philippines (the),PH,2022/11/09,2023/11/06,,7.24619195545,0.43519918548,,5154.61882317000
Batanes,PH02009,Region II (Cagayan Valley),PH02,Philippines (the),PH,2022/11/09,2023/11/06,,2.14056424281,0.01744322785,,201.37482114800
Cagayan,PH02015,Region II (Cagayan Valley),PH02,Philippines (the),PH,2022/11/09,2023/11/06,,10.51833527830,0.75094637943,,8797.49585347000
Isabela,PH02031,Region II (Cagayan Valley),PH02,Philippines (the),PH,2022/11/09,2023/11/06,,5.58893444923,0.89050720111,,10494.92758340000
Nueva Vizcaya,PH02050,Region II (Cagayan Valley),PH02,Philippines (the),PH,2022/11/09,2023/11/06,,3.71248122143,0.34887435534,,4125.92151439000
Quirino,PH02057,Region II (Cagayan Valley),PH02,Philippines (the),PH,2022/11/09,2023/11/06,,2.97678080951,0.23404052116,,2768.00978286000
Bataan,PH03008,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,2.66116833553,0.10445546111,,1244.95364980000
Bulacan,PH03014,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,3.27627565881,0.22770200258,,2709.98275164000
Nueva Ecija,PH03049,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,3.82785926606,0.46390650117,,5504.67257336000
Pampanga,PH03054,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,2.67365538659,0.17771013074,,2114.23826026000
Tarlac,PH03069,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,2.52163313600,0.25026656992,,2971.64580096000
Zambales,PH03071,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,5.32977026042,0.31370549275,,3728.22291362000
Aurora,PH03077,Region III (Central Luzon),PH03,Philippines (the),PH,2022/11/09,2023/11/06,,6.75566023732,0.25576652631,,3030.43956920000
Batangas,PH04010,Region IV-A (Calabarzon),PH04,Philippines (the),PH,2022/11/09,2023/11/06,,5.98947334560,0.26731730491,,3196.53955758000
Cavite,PH04021,Region IV-A (Calabarzon),PH04,Philippines (the),PH,2022/11/09,2023/11/06,,2.70204446400,0.10428875685,,1245.18022657000
Laguna,PH04034,Region IV-A (Calabarzon),PH04,Philippines (the),PH,2022/11/09,2023/11/06,,3.82393998683,0.15093831015,,1802.26765687000
Quezon,PH04056,Region IV-A (Calabarzon),PH04,Philippines (the),PH,2022/11/09,2023/11/06,,19.81682167210,0.70347979483,,8402.27216313000
Rizal,PH04058,Region IV-A (Calabarzon),PH04,Philippines (the),PH,2022/11/09,2023/11/06,,2.98216894383,0.10069553287,,1200.37095502000
Albay,PH05005,Region V (Bicol Region),PH05,Philippines (the),PH,2022/11/09,2023/11/06,,6.50766522350,0.20593851898,,2469.55987577000
Camarines Norte,PH05016,Region V (Bicol Region),PH05,Philippines (the),PH,2022/11/09,2023/11/06,,6.14392031161,0.17758777008,,2121.37218329000
Camarines Sur,PH05017,Region V (Bicol Region),PH05,Philippines (the),PH,2022/11/09,2023/11/06,,12.53879648810,0.44158548319,,5284.71101595000
Catanduanes,PH05020,Region V (Bicol Region),PH05,Philippines (the),PH,2022/11/09,2023/11/06,,4.38779781523,0.12208236106,,1460.55429066000
Masbate,PH05041,Region V (Bicol Region),PH05,Philippines (the),PH,2022/11/09,2023/11/06,,12.60752281990,0.33149978609,,3989.23704448000
Sorsogon,PH05062,Region V (Bicol Region),PH05,Philippines (the),PH,2022/11/09,2023/11/06,,6.46104864016,0.16541690936,,1986.41106496000
Aklan,PH06004,Region VI (Western Visayas),PH06,Philippines (the),PH,2022/11/09,2023/11/06,,4.62609120117,0.13966407243,,1684.87228215000
Antique,PH06006,Region VI (Western Visayas),PH06,Philippines (the),PH,2022/11/09,2023/11/06,,6.04547758990,0.22646672524,,2736.49920207000
Capiz,PH06019,Region VI (Western Visayas),PH06,Philippines (the),PH,2022/11/09,2023/11/06,,3.89766813260,0.21956965674,,2651.03307639000
Iloilo,PH06030,Region VI (Western Visayas),PH06,Philippines (the),PH,2022/11/09,2023/11/06,,8.98808610542,0.39047399750,,4720.20932571000
Negros Occidental,PH06045,Region VI (Western Visayas),PH06,Philippines (the),PH,2022/11/09,2023/11/06,,8.95208336323,0.63216624697,,7658.80047244000
Guimaras,PH06079,Region VI (Western Visayas),PH06,Philippines (the),PH,2022/11/09,2023/11/06,,3.37680143635,0.04925043543,,596.21064155500
Bohol,PH07012,Region VII (Central Visayas),PH07,Philippines (the),PH,2022/11/09,2023/11/06,,9.71369915299,0.32723538260,,3970.08418971000
Cebu,PH07022,Region VII (Central Visayas),PH07,Philippines (the),PH,2022/11/09,2023/11/06,,13.02248842520,0.40204407197,,4870.14350473000
Negros Oriental,PH07046,Region VII (Central Visayas),PH07,Philippines (the),PH,2022/11/09,2023/11/06,,5.31949358012,0.42286089252,,5133.85242023000
Siquijor,PH07061,Region VII (Central Visayas),PH07,Philippines (the),PH,2022/11/09,2023/11/06,,1.05742407824,0.02629104798,,319.57773113800
Eastern Samar,PH08026,Region VIII (Eastern Visayas),PH08,Philippines (the),PH,2022/11/09,2023/11/06,,11.09687809910,0.35232873691,,4249.75361035000
Leyte,PH08037,Region VIII (Eastern Visayas),PH08,Philippines (the),PH,2022/11/09,2023/11/06,,8.72720531294,0.46120058107,,5575.75610448000
