ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM_ID,UPDATED,PERIMETER,AREA,LONGITUDE,LATITUDE
Abra,PH140100000,Cordillera Administrative Region,PH140000000,"140100000",2019-12-31,286873.674,3926646159.000,120.803,17.578
Agusan del Norte,PH160200000,Region XIII,PH160000000,"160200000",2019-12-31,405415.597,2676075528.000,125.536,9.031
Agusan del Sur,PH160300000,Region XIII,PH160000000,"160300000",2019-12-31,576475.959,8452326578.000,125.729,8.422
Aklan,PH060400000,Region VI,PH060000000,"60400000",2019-12-31,507945.150,1684872282.000,122.248,11.610
Albay,PH050500000,Region V,PH050000000,"50500000",2019-12-31,712200.986,2469559883.000,123.616,13.210
Antique,PH060600000,Region VI,PH060000000,"60600000",2019-12-31,664898.246,2736499203.000,122.068,11.127
Apayao,PH148100000,Cordillera Administrative Region,PH140000000,"148100000",2019-12-31,348182.744,3988813838.000,121.188,18.106
Aurora,PH037700000,Region III,PH030000000,"37700000",2019-12-31,736369.220,3030439569.000,121.700,15.923
Basilan,PH150700000,Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,"150700000",2019-12-31,765949.159,1134127186.000,122.029,6.565
Bataan,PH030800000,Region III,PH030000000,"30800000",2019-12-31,290527.014,1244953649.000,120.454,14.660
Batanes,PH020900000,Region II,PH020000000,"20900000",2019-12-31,230114.075,201374821.200,121.888,20.552
Batangas,PH041000000,Region IV-A,PH040000000,"41000000",2019-12-31,654451.617,3196539556.000,121.030,13.899
Benguet,PH141100000,Cordillera Administrative Region,PH140000000,"141100000",2019-12-31,239578.637,2832942226.000,120.699,16.543
Biliran,PH087800000,Region VIII,PH080000000,"87800000",2019-12-31,195547.163,531828271.400,124.473,11.597
Bohol,PH071200000,Region VII,PH070000000,"71200000",2019-12-31,1069508.150,3970084189.000,124.198,9.854
Bukidnon,PH101300000,Region X,PH100000000,"101300000",2019-12-31,554189.038,9358461058.000,125.007,8.019
Bulacan,PH031400000,Region III,PH030000000,"31400000",2019-12-31,357420.679,2709982751.000,121.059,14.979
Cagayan,PH021500000,Region II,PH020000000,"21500000",2019-12-31,1135331.565,8797495853.000,121.761,18.094
Camarines Norte,PH051600000,Region V,PH050000000,"51600000",2019-12-31,670821.420,2121372183.000,122.728,14.143
Camarines Sur,PH051700000,Region V,PH050000000,"51700000",2019-12-31,1370490.788,5284711017.000,123.263,13.704
Camiguin,PH101800000,Region X,PH100000000,"101800000",2019-12-31,77315.659,242533088.200,124.718,9.172
Capiz,PH061900000,Region VI,PH060000000,"61900000",2019-12-31,427912.048,2651033075.000,122.633,11.370
Catanduanes,PH052000000,Region V,PH050000000,"52000000",2019-12-31,480044.932,1460554291.000,124.236,13.783
Cavite,PH042100000,Region IV-A,PH040000000,"42100000",2019-12-31,295167.717,1245180226.000,120.868,14.255
Cebu,PH072200000,Region VII,PH070000000,"72200000",2019-12-31,1433544.741,4870143505.000,123.755,10.355
City of Isabela,PH099700000,Region IX,PH090000000,"99700000",2019-12-31,136126.782,219869684.000,121.987,6.651
Davao de Oro,PH118200000,Region XI,PH110000000,"118200000",2019-12-31,448552.706,4351492610.000,126.023,7.573
Cotabato,PH124700000,Region XII,PH120000000,"124700000",2019-12-31,565872.710,5859711621.000,124.851,7.203
