adm0_en,len_crs,area_crs,len_km,area_km2
Philippines (the),2815,193691,2,0.0
Philippines (the),270,3421,0,0.0
Philippines (the),1773,149405,1,0.0
Philippines (the),106,803,0,0.0
Philippines (the),448,8314,0,0.0
Philippines (the),309,6355,0,0.0
Philippines (the),4339,873586,4,0.0
Philippines (the),2214,165259,2,0.0
Philippines (the),1180,61347,1,0.0
Philippines (the),4189,42152,4,0.0
Philippines (the),4352,735496,4,0.0
Philippines (the),690,22693,0,0.0
Philippines (the),374,8790,0,0.0
Philippines (the),294,3002,0,0.0
Philippines (the),969,5537,0,0.0
Philippines (the),14091,659643,14,0.0
Philippines (the),968,65018,0,0.0
Philippines (the),226,1742,0,0.0
Philippines (the),242,2954,0,0.0
Philippines (the),304,2221,0,0.0
Philippines (the),202,1855,0,0.0
Philippines (the),1146,63614,1,0.0
Philippines (the),423,8969,0,0.0
Philippines (the),117,776,0,0.0
Philippines (the),975,50627,0,0.0
Philippines (the),575,6156,0,0.0
Philippines (the),1523,123918,1,0.0
Philippines (the),123,635,0,0.0
Philippines (the),148,796,0,0.0
Philippines (the),1293,74368,1,0.0
Philippines (the),271,1549,0,0.0
Philippines (the),329,4402,0,0.0
Philippines (the),279,3111,0,0.0
Philippines (the),56913,19630194,56,19.0
Philippines (the),19494,16013743,19,16.0
Philippines (the),426,3322,0,0.0
Philippines (the),10625,1130097,10,1.0
Philippines (the),2319,53171,2,0.0
Philippines (the),476,7629,0,0.0
Philippines (the),2472,38995,2,0.0
Philippines (the),214,2412,0,0.0
Philippines (the),189,1990,0,0.0
Philippines (the),47,150,0,0.0
Philippines (the),24,44,0,0.0
Philippines (the),3824,138883,3,0.0
Philippines (the),32,71,0,0.0
Philippines (the),38,101,0,0.0
Philippines (the),489,7592,0,0.0
Philippines (the),221,3265,0,0.0
Philippines (the),3081,132168,3,0.0
Philippines (the),189,2306,0,0.0
Philippines (the),11302,4094419,11,4.0
Philippines (the),270,3156,0,0.0
Philippines (the),2646,266377,2,0.0
Philippines (the),114862,105039095,114,105.0
Philippines (the),1379,64506,1,0.0
Philippines (the),62,264,0,0.0
Philippines (the),202,1437,0,0.0
Philippines (the),749,13370,0,0.0
Philippines (the),947,16868,0,0.0
Philippines (the),503,9294,0,0.0
Philippines (the),2249,170825,2,0.0
Philippines (the),48686,40101873,48,40.0
Philippines (the),1222,49677,1,0.0
Philippines (the),3085,112055,3,0.0
Philippines (the),380,3588,0,0.0
Philippines (the),604,11457,0,0.0
Philippines (the),2610,274760,2,0.0
Philippines (the),430,9482,0,0.0
Philippines (the),475,8937,0,0.0
Philippines (the),3652,297200,3,0.0
Philippines (the),289,3988,0,0.0
Philippines (the),1552,96679,1,0.0
Philippines (the),1393,26609,1,0.0
Philippines (the),2623,153876,2,0.0
Philippines (the),108,668,0,0.0
Philippines (the),2451,192665,2,0.0
Philippines (the),60,258,0,0.0
Philippines (the),135,1153,0,0.0
Philippines (the),330,3344,0,0.0
Philippines (the),2907,47752,2,0.0
Philippines (the),2163,224896,2,0.0
Philippines (the),181,1944,0,0.0
Philippines (the),1599,103229,1,0.0
Philippines (the),1114,69960,1,0.0
Philippines (the),373,6311,0,0.0
Philippines (the),1346,15995,1,0.0
Philippines (the),317,1919,0,0.0
Philippines (the),106,625,0,0.0
Philippines (the),141,884,0,0.0
Philippines (the),127,765,0,0.0
