adm1_psgc,adm1_en,geo_level,len_crs,area_crs,len_km,area_km2
100000000,Region I (Ilocos Region),Reg,1633812.7660482512,12319684719.028599,1633.8127660482512,12319.684719028599
200000000,Region II (Cagayan Valley),Reg,2071665.6150311772,26379470627.914814,2071.6656150311774,26379.470627914812
300000000,Region III (Central Luzon),Reg,1739730.6562542068,21317544191.129517,1739.7306562542067,21317.544191129517
400000000,Region IV-A (CALABARZON),Reg,3018869.1879846468,15844672848.569353,3018.869187984647,15844.672848569353
500000000,Region V (Bicol Region),Reg,4916380.250424714,17326742058.437603,4916.380250424714,17326.7420584376
600000000,Region VI (Western Visayas),Reg,3052957.389962799,20033288935.861866,3052.957389962799,20033.288935861867
700000000,Region VII (Central Visayas),Reg,3205074.256635666,14284958199.87832,3205.0742566356657,14284.958199878321
800000000,Region VIII (Eastern Visayas),Reg,4616788.429126568,20843031458.038307,4616.788429126568,20843.031458038306
900000000,Region IX (Zamboanga Peninsula),Reg,2560059.5224115304,14585545786.057926,2560.0595224115305,14585.545786057926
1000000000,Region X (Northern Mindanao),Reg,1656215.423035591,17491466804.843346,1656.215423035591,17491.466804843345
1100000000,Region XI (Davao Region),Reg,1984247.5203893313,18840136538.012268,1984.2475203893314,18840.13653801227
1200000000,Region XII (SOCCSKSARGEN),Reg,1592698.8420639038,17365248164.233322,1592.6988420639038,17365.248164233322
1300000000,National Capital Region (NCR),Reg,251831.61607328895,598726389.8053917,251.83161607328896,598.7263898053917
1400000000,Cordillera Administrative Region (CAR),Reg,873156.4597046649,18198018564.380623,873.1564597046649,18198.01856438062
1600000000,Region XIII (Caraga),Reg,3107083.6099150656,18776338652.450974,3107.0836099150656,18776.338652450973
1700000000,MIMAROPA Region,Reg,8672989.340800086,26870100938.28479,8672.989340800086,26870.10093828479
1900000000,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Reg,6109999.907064446,13463620615.252,6109.999907064446,13463.620615252
