adm1_psgc,adm2_psgc,adm2_en,geo_level,len_crs,area_crs,len_km,area_km2
100000000,102800000,Ilocos Norte,Prov,309785.9617221659,3276945154.865594,309.78596172216595,3276.945154865594
100000000,102900000,Ilocos Sur,Prov,452374.7411753125,2467458323.246902,452.37474117531247,2467.458323246902
100000000,103300000,La Union,Prov,262415.80800065247,1414080983.2713034,262.4158080006525,1414.0809832713035
100000000,105500000,Pangasinan,Prov,789136.7735358223,5161200257.644719,789.1367735358223,5161.200257644719
200000000,200900000,Batanes,Prov,230060.1165585993,201280837.91026238,230.06011655859928,201.28083791026236
200000000,201500000,Cagayan,Prov,1135169.7444086715,8794377504.221058,1135.1697444086715,8794.377504221058
200000000,203100000,Isabela,Prov,606202.8682327671,10489909469.100908,606.2028682327671,10489.909469100909
200000000,205000000,Nueva Vizcaya,Prov,403864.8317471906,4126548282.753537,403.86483174719064,4126.548282753537
200000000,205700000,Quirino,Prov,323147.5467499473,2767354533.929794,323.1475467499473,2767.354533929794
300000000,300800000,Bataan,Prov,290679.91543419124,1246275464.8538485,290.67991543419123,1246.2754648538485
300000000,301400000,Bulacan,Prov,357485.0931220752,2710754756.367615,357.48509312207517,2710.7547563676153
300000000,304900000,Nueva Ecija,Prov,417819.268141134,5506443156.588568,417.819268141134,5506.443156588568
300000000,305400000,Pampanga,Prov,291563.6001325583,2115903632.9764664,291.5636001325583,2115.9036329764663
300000000,306900000,Tarlac,Prov,275154.6907608585,2974676788.9336815,275.1546907608585,2974.6767889336816
300000000,307100000,Zambales,Prov,582660.1537761656,3733936862.0345,582.6601537761655,3733.9368620345003
300000000,307700000,Aurora,Prov,736253.4828137913,3029553529.3744044,736.2534828137913,3029.553529374404
400000000,401000000,Batangas,Prov,654610.6537983504,3197610494.0024514,654.6106537983503,3197.6104940024516
400000000,402100000,Cavite,Prov,295248.78307524335,1245817119.9564595,295.24878307524335,1245.8171199564595
400000000,403400000,Laguna,Prov,418123.3156782714,1802223691.8316314,418.1233156782714,1802.2236918316314
400000000,405600000,Quezon,Prov,2165220.520068946,8398566534.347447,2165.220520068946,8398.566534347447
400000000,405800000,Rizal,Prov,326217.9139890435,1200455008.431618,326.2179139890435,1200.455008431618
500000000,500500000,Albay,Prov,711965.6548679246,2467882577.0205417,711.9656548679246,2467.8825770205417
500000000,501600000,Camarines Norte,Prov,670564.6722761411,2119744287.2540483,670.5646722761411,2119.7442872540482
500000000,501700000,Camarines Sur,Prov,1370001.469668071,5280741968.466571,1370.001469668071,5280.741968466571
500000000,502000000,Catanduanes,Prov,479965.2642605564,1460034357.6387281,479.96526426055635,1460.0343576387281
500000000,504100000,Masbate,Prov,1382930.8832616587,3986492499.801226,1382.9308832616587,3986.492499801226
500000000,506200000,Sorsogon,Prov,707760.5330490104,1985336553.1661623,707.7605330490104,1985.3365531661623
600000000,600400000,Aklan,Prov,507785.5458830696,1683814691.0335786,507.7855458830696,1683.8146910335786
600000000,600600000,Antique,Prov,664764.0213240135,2735034505.738927,664.7640213240135,2735.034505738927
600000000,601900000,Capiz,Prov,427751.239167234,2649050155.2656164,427.75123916723396,2649.0501552656165
600000000,603000000,Iloilo,Prov,987568.7477673482,4716768475.230421,987.5687477673482,4716.768475230421
600000000,604500000,Negros Occidental,Prov,985013.9409925549,7652860443.427995,985.0139409925549,7652.860443427995
600000000,607900000,Guimaras,Prov,371424.0592319113,595760665.165413,371.4240592319113,595.760665165413
700000000,701200000,Bohol,Prov,1069316.9766225521,3968651313.2610135,1069.3169766225521,3968.6513132610135
700000000,702200000,Cebu,Prov,1433151.2284092987,4867165712.2826605,1433.1512284092987,4867.165712282661
700000000,704600000,Negros Oriental,Prov,586092.2334829769,5129785698.924038,586.0922334829769,5129.785698924038
700000000,706100000,Siquijor,Prov,116513.8181208487,319355475.4105908,116.5138181208487,319.3554754105908
800000000,802600000,Eastern Samar,Prov,1220162.804301417,4253466124.2664404,1220.162804301417,4253.466124266441
800000000,803700000,Leyte,Prov,960036.0228142705,5576441132.79201,960.0360228142705,5576.441132792011
800000000,804800000,Northern Samar,Prov,1139265.1457696154,3441049293.4359307,1139.2651457696154,3441.049293435931
800000000,806000000,Samar,Prov,1460806.3240455072,5384137543.814801,1460.8063240455072,5384.137543814802
800000000,806400000,Southern Leyte,Prov,464297.90068247926,1656194639.4101224,464.2979006824793,1656.1946394101224
800000000,807800000,Biliran,Prov,195126.40202675865,531742724.31875396,195.12640202675865,531.742724318754
900000000,907200000,Zamboanga del Norte,Prov,901839.3917797196,6279604776.975364,901.8393917797196,6279.604776975364
900000000,907300000,Zamboanga del Sur,Prov,1304481.6376153952,5362424632.281776,1304.4816376153954,5362.424632281776
900000000,908300000,Zamboanga Sibugay,Prov,993559.9558850264,2723754336.460596,993.5599558850264,2723.7543364605963
900000000,990100000,City of Isabela (Not a Province),,136093.86329593262,219762040.33995602,136.0938632959326,219.762040339956
1000000000,1001300000,Bukidnon,Prov,554303.9973662109,9362441276.629711,554.3039973662109,9362.441276629712
1000000000,1001800000,Camiguin,Prov,77319.16511466788,242553035.07169053,77.31916511466788,242.55303507169052
1000000000,1003500000,Lanao del Norte,Prov,458248.7214814449,2637532062.517923,458.2487214814449,2637.532062517923
1000000000,1004200000,Misamis Occidental,Prov,355134.832254166,1869827112.393809,355.13483225416604,1869.827112393809
1000000000,1004300000,Misamis Oriental,Prov,608569.6205880311,3379113318.2302628,608.5696205880312,3379.113318230263
1100000000,1102300000,Davao del Norte,Prov,539322.7769174378,3249633408.25709,539.3227769174377,3249.63340825709
1100000000,1102400000,Davao del Sur,Prov,536861.7838603886,4266229746.896163,536.8617838603885,4266.229746896163
1100000000,1102500000,Davao Oriental,Prov,798352.9123383233,5001466871.001609,798.3529123383233,5001.4668710016085
1100000000,1108200000,Davao de Oro,Prov,448972.52096535405,4360033862.651964,448.9725209653541,4360.033862651964
1100000000,1108600000,Davao Occidental,Prov,484381.19735901867,1962772649.2055597,484.38119735901864,1962.7726492055597
1200000000,1204700000,Cotabato,Prov,767279.018643396,5318333358.512408,767.279018643396,5318.333358512408
1200000000,1206300000,South Cotabato,Prov,399409.62009871745,4120449292.0964136,399.4096200987174,4120.449292096414
1200000000,1206500000,Sultan Kudarat,Prov,555247.0810969066,4224167311.9525647,555.2470810969065,4224.167311952565
1200000000,1208000000,Sarangani,Prov,572464.7760758027,3702298201.6718955,572.4647760758028,3702.2982016718956
1300000000,1303900000,"NCR, City of Manila, First District (Not a Province)",Dist,65456.07369581831,41975413.70835931,65.45607369581832,41.975413708359305
1300000000,1307400000,"NCR, Second District (Not a Province)",Dist,103620.29398080829,233830886.5109857,103.62029398080828,233.8308865109857
1300000000,1307500000,"NCR, Third District (Not a Province)",Dist,103619.09234154328,126134749.1187933,103.61909234154328,126.1347491187933
1300000000,1307600000,"NCR, Fourth District (Not a Province)",Dist,102146.02165788691,196785340.46724853,102.14602165788692,196.78534046724852
1400000000,1400100000,Abra,Prov,286954.72088408686,3928807754.3783026,286.95472088408684,3928.8077543783024
1400000000,1401100000,Benguet,Prov,239663.35254960036,2834910329.502205,239.66335254960035,2834.910329502205
1400000000,1402700000,Ifugao,Prov,241017.19707295918,2506937851.5238028,241.0171970729592,2506.9378515238027
1400000000,1403200000,Kalinga,Prov,271958.32977663854,2825184043.2845607,271.95832977663855,2825.1840432845606
1400000000,1404400000,Mountain Province,Prov,260383.81764947958,2112907213.340225,260.38381764947957,2112.907213340225
1400000000,1408100000,Apayao,Prov,348199.5768775712,3989271372.351493,348.1995768775712,3989.271372351493
1600000000,1600200000,Agusan del Norte,Prov,405631.18402937736,2679091880.3770723,405.6311840293774,2679.0918803770724
