adm1_psgc,adm2_psgc,adm3_psgc,adm3_en,geo_level,len_crs,area_crs,len_km,area_km2
100000000,102800000,102801000,Adams,Mun,45997,111184551,45,111.0
100000000,102800000,102802000,Bacarra,Mun,33313,55346073,33,55.0
100000000,102800000,102803000,Badoc,Mun,64985,80758428,64,80.0
100000000,102800000,102804000,Bangui,Mun,52068,115127442,52,115.0
100000000,102800000,102805000,City of Batac,City,66661,158252391,66,158.0
100000000,102800000,102806000,Burgos,Mun,54828,137203257,54,137.0
100000000,102800000,102807000,Carasi,Mun,56958,173134875,56,173.0
100000000,102800000,102808000,Currimao,Mun,41115,33463719,41,33.0
100000000,102800000,102809000,Dingras,Mun,55309,108434465,55,108.0
100000000,102800000,102810000,Dumalneg,Mun,40939,66780135,40,66.0
100000000,102800000,102811000,Banna,Mun,44707,91199341,44,91.0
100000000,102800000,102812000,City of Laoag ,City,53964,110146974,53,110.0
100000000,102800000,102813000,Marcos,Mun,46890,79457691,46,79.0
100000000,102800000,102814000,Nueva Era,Mun,161085,608946887,161,608.0
100000000,102800000,102815000,Pagudpud,Mun,85639,193261277,85,193.0
100000000,102800000,102816000,Paoay,Mun,43881,69564806,43,69.0
100000000,102800000,102817000,Pasuquin,Mun,70829,176804998,70,176.0
100000000,102800000,102818000,Piddig,Mun,59617,123656502,59,123.0
100000000,102800000,102819000,Pinili,Mun,45400,63665752,45,63.0
100000000,102800000,102820000,San Nicolas,Mun,29483,41977735,29,41.0
100000000,102800000,102821000,Sarrat,Mun,33368,56940933,33,56.0
100000000,102800000,102822000,Solsona,Mun,47312,90387793,47,90.0
100000000,102800000,102823000,Vintar,Mun,105732,531249117,105,531.0
100000000,102900000,102901000,Alilem,Mun,50145,114511522,50,114.0
100000000,102900000,102902000,Banayoyo,Mun,24941,25118101,24,25.0
100000000,102900000,102903000,Bantay,Mun,45269,75191183,45,75.0
100000000,102900000,102904000,Burgos,Mun,31434,50974877,31,50.0
100000000,102900000,102905000,Cabugao,Mun,50276,112323801,50,112.0
